# Column descriptions:
# id	Object ID, according to EcoCyc
# flux-avg	A floating point number in mmol/g DCW/h units
# flux-std	A floating point number in mmol/g DCW/h units
id	flux-avg	flux-std
3.1.4.14-RXN	0.022725915201908642	0.008963960938085902
3.2.1.17-RXN	0.0	0.0
3.2.1.21-RXN	1.363429617213827e-19	9.556241129861647e-17
3.2.1.52-RXN	6.727480883184627e-26	4.715273066139025e-23
3.2.2.10-RXN	0.020720075892162147	0.035203985631471375
3.2.2.23-RXN	0.0	0.0
3.4.11.1-RXN	0.0	0.0
3.4.11.18-RXN	0.0	0.0
3.4.11.2-RXN	0.0	0.0
3.4.11.4-RXN	0.0	0.0
3.4.11.9-RXN	0.0	0.0
3.4.13.18-RXN	0.02595019635238228	0.024938973198455443
3.4.13.21-RXN	0.0	0.0
3.4.13.22-RXN	0.015575800163903562	0.01914152948815981
3.4.13.9-RXN	0.0	0.0
3.4.15.5-RXN	0.0	0.0
3.4.17.8-RXN	0.0	0.0
3.4.19.12-RXN	0.0	0.0
3.4.21.102-RXN	0.0	0.0
3.4.21.107-RXN	0.0	0.0
3.4.21.53-RXN	0.0	0.0
3.4.21.87-RXN	0.0	0.0
3.4.21.92-RXN	0.0	0.0
3.4.23.43-RXN	0.0	0.0
3.4.24.55-RXN	0.0	0.0
3.5.1.88-RXN	0.0	0.0
3.5.2.17-RXN	0.0	0.0
3.6.1.41-RXN	0.0006334528256618021	0.00879433737111136
3.6.3.23-RXN	0.0	0.0
3.6.3.3-RXN	0.0	0.0
3.6.3.39-RXN	-4.283774469794521e-24	7.044502222877628e-21
3.6.3.53-RXN	0.0	0.0
325-BISPHOSPHATE-NUCLEOTIDASE-RXN	0.022726557748310974	0.00896381666968494
3PGAREARR-RXN	-8.224410131438166	3.109732016477604
4-HYDROXYBUTYRATE-DEHYDROGENASE-RXN	0.0	0.0
4-NITROPHENYLPHOSPHATASE-RXN	0.0	0.0
4.1.2.28-RXN	0.0	0.0
4.2.1.58-RXN	0.03561594322204695	0.1107734687839906
4.2.1.59-RXN	0.14299871953614063	0.19671131610418904
4.2.1.61-RXN	0.03893123702346043	0.12655762296741863
4.2.1.99-RXN	0.0	0.0
4.2.99.18-RXN	-5.225769187298569e-22	6.953673907025882e-19
4.3.1.15-RXN	0.0	0.0
4.3.1.17-RXN	0.00004674812729534974	0.0042336292487538596
4OHBENZOATE-OCTAPRENYLTRANSFER-RXN	0.00023663131124037213	0.00030556518546185886
5-FORMYL-THF-CYCLO-LIGASE-RXN	0.0	0.0
5-METHYLTHIOADENOSINE-PHOSPHORYLASE-RXN	-3.521582960935647e-25	7.364947651555743e-22
5-NUCLEOTID-RXN	-1.684193068668928e-20	1.477260734021806e-17
5-NUCLEOTID-RXN[CCO-CYTOSOL]-CMP//CYTIDINE	0.004424081513366419	0.021900535710977435
5-OXOPROLINASE-ATP-HYDROLYSING-RXN	0.003838521258989514	0.01357540201308093
5.1.3.20-RXN	0.03377644339555803	0.10305792834909694
5.3.1.17-RXN	0.0	0.0
5.3.3.14-RXN	4.306706072151509e-20	5.553590327935886e-17
5.4.2.10-RXN	0.039539235939246874	0.27639120657567584
6-PHOSPHO-BETA-GLUCOSIDASE-RXN	-1.3900262124345102e-19	7.316132558076417e-17
6PFRUCTPHOS-RXN	1.398479560194179	0.18214740813614827
6PGLUCONOLACT-RXN	0.41659968992947877	5.935876986780843
7-ALPHA-HYDROXYSTEROID-DEH-RXN	0.0	0.0
ABC-10-RXN	0.0	0.0
ABC-11-RXN	0.0	0.0
ABC-12-RXN	0.0	0.0
ABC-13-RXN	0.0	0.0
ABC-14-RXN	-8.687553572067185e-13	6.089082686371491e-10
ABC-15-RXN	0.0	0.0
ABC-16-RXN	0.0	0.0
ABC-18-RXN	0.0	0.0
ABC-19-RXN	0.0	0.0
ABC-2-RXN	0.0	0.0
