p_expressed	max_monomer_counts	max_mRNA_counts	cistron_idx	gene_name	cistron_name	protein_name
0.75	96	1	4020	G7602	G7602_RNA	G7602-MONOMER
0.75	36	1	4024	G7606	G7606_RNA	G7606-MONOMER
0.25	39	1	4025	G7607	G7607_RNA	G7607-MONOMER
0.5	188	1	4032	G7614	G7614_RNA	G7614-MONOMER
0.25	31	1	4035	G7617	G7617_RNA	G7617-MONOMER
0.25	53	1	4037	G7619	G7619_RNA	G7619-MONOMER
0.25	56	1	4038	G7620	G7620_RNA	G7620-MONOMER
0.25	65	1	4039	G7621	G7621_RNA	G7621-MONOMER
0.25	160	1	4040	G7622	G7622_RNA	G7622-MONOMER
0.25	710	1	4041	G7624	G7624_RNA	LSERINEDEAM3-MONOMER
0.25	256	1	4042	G7626	G7626_RNA	G7626-MONOMER
0.75	386	2	4058	G7644	G7644_RNA	G7644-MONOMER
0.5	113	1	4059	G7645	G7645_RNA	G7645-MONOMER
0.5	181	1	4061	G7647	G7647_RNA	G7647-MONOMER
0.25	87	1	4062	G7648	G7648_RNA	G7648-MONOMER
0.75	724	1	4067	G7653	G7653_RNA	G7653-MONOMER
0.25	62	1	4068	G7654	G7654_RNA	G7654-MONOMER
0.75	63	3	4078	G7667	G7667_RNA	G7667-MONOMER
0.5	61	1	4080	G7669	G7669_RNA	G7669-MONOMER
0.5	116	1	4084	G7674	G7674_RNA	G7674-MONOMER
0.5	323	1	4085	G7675	G7675_RNA	G7675-MONOMER
0.5	113	1	4086	G7676	G7676_RNA	NANK-MONOMER
0.75	1005	1	4092	G7682	G7682_RNA	G7682-MONOMER
0.5	228	1	4093	G7683	G7683_RNA	G7683-MONOMER
0.75	69	1	4094	G7684	G7684_RNA	G7684-MONOMER
0.75	352	1	4095	G7685	G7685_RNA	G7685-MONOMER
0.75	413	1	4096	G7686	G7686_RNA	G7686-MONOMER
0.75	284	2	4097	G7687	G7687_RNA	G7687-MONOMER
0.25	33	1	4101	G7693	G7693_RNA	G7693-MONOMER
0.25	54	1	4102	G7694	G7694_RNA	G7694-MONOMER
