p_expressed	max_monomer_counts	max_mRNA_counts	cistron_idx	gene_name	cistron_name	protein_name
0.25	752	1	6	EG10007	EG10007_RNA	HISM-MONOMER
0.25	32	1	12	EG10015	EG10015_RNA	EG10015-MONOMER
0.75	553	1	14	EG10017	EG10017_RNA	OPPSYN-MONOMER
0.25	702	1	24	EG10028	EG10028_RNA	PFLACTENZ-MONOMER
0.75	8492	2	25	EG10029	EG10029_RNA	PD00230
0.25	177	1	28	EG10032	EG10032_RNA	ADENYL-KIN-MONOMER
0.5	27	1	31	EG10035	EG10035_RNA	LACTALDDEHYDROG-MONOMER
0.25	1524	1	32	EG10036	EG10036_RNA	ALDHDEHYDROG-MONOMER
0.25	58	1	34	EG10039	EG10039_RNA	AMP-NUCLEOSID-MONOMER
0.75	23	2	41	EG10046	EG10046_RNA	ANSB-MONOMER
0.75	1219	2	42	EG10047	EG10047_RNA	EG10047-MONOMER
0.25	18	1	44	EG10049	EG10049_RNA	APPA-MONOMER
0.5	20	1	50	EG10055	EG10055_RNA	RIBULPEPIM-MONOMER
0.5	368	2	51	EG10056	EG10056_RNA	ARAE-MONOMER
0.5	288	2	52	EG10057	EG10057_RNA	ARAF-MONOMER
0.5	271	2	53	EG10058	EG10058_RNA	ARAG-MONOMER
0.75	100	1	54	EG10059	EG10059_RNA	ARAH-MONOMER
0.75	1484	2	70	EG10075	EG10075_RNA	AROC-MONOMER
0.5	10	1	79	EG10084	EG10084_RNA	AROP-MONOMER
0.5	46	1	80	EG10085	EG10085_RNA	EG10085-MONOMER
0.5	12359	1	83	EG10088	EG10088_RNA	ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER
0.75	1023	1	103	EG10108	EG10108_RNA	EG10108-MONOMER
0.75	3365	1	104	EG10109	EG10109_RNA	CHD-MONOMER
0.75	349	1	105	EG10110	EG10110_RNA	BADH-MONOMER
0.75	135	3	116	EG10121	EG10121_RNA	7KAPSYN-MONOMER
0.75	1545	2	118	EG10123	EG10123_RNA	BIOTINLIG-MONOMER
0.75	155	1	121	EG10126	EG10126_RNA	EG10126-MONOMER
0.75	122	1	134	EG10139	EG10139_RNA	CDPDIGLYSYN-MONOMER
0.75	106	1	135	EG10140	EG10140_RNA	CELA-MONOMER
0.75	112	1	136	EG10141	EG10141_RNA	CELB-MONOMER
0.75	1573	1	137	EG10142	EG10142_RNA	CELC-MONOMER
0.75	85	1	138	EG10143	EG10143_RNA	EG10143-MONOMER
0.25	36	1	139	EG10144	EG10144_RNA	EG10144-MONOMER
0.25	1155	1	155	EG10160	EG10160_RNA	CPDB-MONOMER
0.25	1498	1	156	EG10161	EG10161_RNA	MANNPGUANYLTRANGDP-MONOMER
0.25	10	1	166	EG10172	EG10172_RNA	CYTOCHROME-B561-MONOMER
0.25	13	1	167	EG10173	EG10173_RNA	CYDA-MONOMER
0.5	4181	1	181	EG10187	EG10187_RNA	SERINE-O-ACETTRAN-MONOMER
0.25	1943	1	211	EG10218	EG10218_RNA	EG10218-MONOMER
0.25	300	1	213	EG10220	EG10220_RNA	PPENTOMUT-MONOMER
0.25	155	1	220	EG10227	EG10227_RNA	EG10227-MONOMER
0.25	59	1	224	EG10231	EG10231_RNA	DLACTDEHYDROGFAD-MONOMER
0.25	14	1	225	EG10232	EG10232_RNA	DMSA-MONOMER
0.25	17	1	226	EG10233	EG10233_RNA	DMSB-MONOMER
0.75	395	2	229	EG10236	EG10236_RNA	EG10236-MONOMER
0.25	14	1	231	EG10238	EG10238_RNA	EG10238-MONOMER
0.75	544	2	236	EG10243	EG10243_RNA	EG10243-MONOMER
0.25	1180	1	241	EG10248	EG10248_RNA	DPPA-MONOMER
0.25	461	1	242	EG10249	EG10249_RNA	DSERDEAM-MONOMER
0.25	152	1	244	EG10251	EG10251_RNA	DUTP-PYROP-MONOMER
0.25	72	1	245	EG10252	EG10252_RNA	EG10252-MONOMER
0.75	443	1	247	EG10254	EG10254_RNA	PD03254
0.75	59	2	249	EG10256	EG10256_RNA	KDPGALDOL-4OH2OXOGLUTARALDOL-MONOMER
0.75	818	1	260	EG10267	EG10267_RNA	ACRF-MONOMER
0.5	14951	1	270	EG10277	EG10277_RNA	FABH-MONOMER
0.5	406	1	271	EG10278	EG10278_RNA	FADA-MONOMER
0.25	142	1	277	EG10284	EG10284_RNA	EG10284-MONOMER
0.25	2595	1	293	EG10300	EG10300_RNA	EG10300-MONOMER
0.25	316	1	301	EG10308	EG10308_RNA	EG10308-MONOMER
0.75	639	2	302	EG10309	EG10309_RNA	EG10309-MONOMER
0.75	43	1	303	EG10310	EG10310_RNA	EG10310-MONOMER
0.75	144	1	305	EG10312	EG10312_RNA	EG10312-MONOMER
0.75	226	1	307	EG10314	EG10314_RNA	EG10314-MONOMER
0.5	3	1	321	EG10328	EG10328_RNA	FOLD-MONOMER
0.5	6777	1	322	EG10329	EG10329_RNA	EG10329-MONOMER
0.5	64	1	323	EG10330	EG10330_RNA	FUM-FLAVO
0.5	119	1	324	EG10331	EG10331_RNA	FUM-FE-S
0.5	88	1	325	EG10332	EG10332_RNA	FUM-MEMB1
0.75	213	1	328	EG10335	EG10335_RNA	EG10335-MONOMER
0.75	122	1	329	EG10336	EG10336_RNA	FRUA-MONOMER
0.75	349	3	331	EG10338	EG10338_RNA	PD00521
0.75	221	4	334	EG10341	EG10341_RNA	EG10341-MONOMER
0.25	131	1	341	EG10348	EG10348_RNA	FUCPALDOL-MONOMER
0.25	132	1	342	EG10349	EG10349_RNA	FUCISOM-MONOMER
0.25	5	1	344	EG10351	EG10351_RNA	LACTALDREDUCT-MONOMER
0.75	23558	2	347	EG10355	EG10355_RNA	EG10355-MONOMER
0.5	412	2	349	EG10357	EG10357_RNA	FUMB-MONOMER
0.25	182	1	356	EG10364	EG10364_RNA	PD03028
0.25	404	1	364	EG10372	EG10372_RNA	GDHA-MONOMER
0.25	183	1	365	EG10373	EG10373_RNA	EG10373-MONOMER
0.75	5568	2	382	EG10390	EG10390_RNA	GLNS-MONOMER
0.75	516	2	383	EG10391	EG10391_RNA	ANGLYC3PDEHYDROGSUBUNITA-MONOMER
0.75	513	2	384	EG10392	EG10392_RNA	ANGLYC3PDEHYDROGSUBUNITB-MONOMER
0.75	416	2	416	EG10425	EG10425_RNA	7-ALPHA-HYDROXYSTEROID-DEH-MONOMER
0.75	125	1	421	EG10430	EG10430_RNA	UROGENIIISYN-MONOMER
