name	reactions	genes	compounds
proline to cytochrome <i>bo</i> oxidase electron transfer	RXN0-5268	EG10181 // EG10178 // EG10179 // EG10180	CYOD-MONOMER // CYT-O-UBIOX-CPLX // CYOA-MONOMER // CYT-O-UBIOX-CPLX // CYOB-MONOMER // CYT-O-UBIOX-CPLX // CYOC-MONOMER // CYT-O-UBIOX-CPLX
proline to cytochrome <i>bo</i> oxidase electron transfer	RXN0-7008	EG10801	PUTA-MONOMER // PUTA-CPLX
pyrimidine nucleobases salvage I	URACIL-PRIBOSYLTRANS-RXN	EG11332	URACIL-PRIBOSYLTRANS-MONOMER // URACIL-PRIBOSYLTRANS-CPLX
thiamine diphosphate biosynthesis I (E. coli)	RXN-12611	EG11586	THIE-MONOMER
thiamine diphosphate biosynthesis I (E. coli)	THI-P-KIN-RXN	G6234	THI-P-KIN-MONOMER
glycine cleavage	GCVT-RXN	EG11442	GCVT-MONOMER // GCVMULTI-CPLX
glycine cleavage	GCVP-RXN	EG11810	GCVP-MONOMER // GCVP-CPLX // GCVMULTI-CPLX
glycine cleavage	RXN-8629	EG10543	E3-MONOMER // E3-CPLX // 2OXOGLUTARATEDEH-CPLX // GCVMULTI-CPLX // PYRUVATEDEH-CPLX
DpiBA Two-Component Signal Transduction System	RXN0-6271		
DpiBA Two-Component Signal Transduction System	RXN0-6272		
AtoSC Two-Component Signal Transduction System	RXN0-6502		
AtoSC Two-Component Signal Transduction System	ATOC-RXN		
ammonia assimilation cycle III	GLUTAMIN-RXN	G6810 // G6261 // EG10092	G6810-MONOMER // CPLX0-7695 // G6261-MONOMER // CPLX0-7694 // ASNSYNB-MONOMER // ASNSYNB-CPLX
ammonia assimilation cycle III	GLUTAMINESYN-RXN	EG10383	GLUTAMINESYN-MONOMER // ADENYLYL-GS // GLUTAMINESYN-OLIGOMER
ammonia assimilation cycle III	RXN-20084	EG10404 // EG10403	GLUSYNSMALL-MONOMER // GLUTAMATESYN-DIMER // GLUTAMATESYN-CPLX // GLUSYNLARGE-MONOMER // GLUTAMATESYN-DIMER // GLUTAMATESYN-CPLX
formaldehyde oxidation II (glutathione-dependent)	RXN-2962	EG50010	ADHC-MONOMER // ADHC-CPLX
formaldehyde oxidation II (glutathione-dependent)	RXN-2961		
formaldehyde oxidation II (glutathione-dependent)	S-FORMYLGLUTATHIONE-HYDROLASE-RXN	G6208 // EG12026	G6208-MONOMER // EG12026-MONOMER // CPLX0-3954
glycerol-3-phosphate to cytochrome <i>bo</i> oxidase electron transfer	RXN0-5268	EG10181 // EG10178 // EG10179 // EG10180	CYOD-MONOMER // CYT-O-UBIOX-CPLX // CYOA-MONOMER // CYT-O-UBIOX-CPLX // CYOB-MONOMER // CYT-O-UBIOX-CPLX // CYOC-MONOMER // CYT-O-UBIOX-CPLX
glycerol-3-phosphate to cytochrome <i>bo</i> oxidase electron transfer	RXN0-5260	EG10394	AERGLYC3PDEHYDROG-MONOMER // AERGLYC3PDEHYDROG-CPLX
cytochrome <i>c</i> biogenesis (system I type)	TRANS-RXN-403	EG10936 // EG10939 // EG12095 // EG10766	SECA // CPLX0-12269 // CPLX0-8089 // SECE // SECE-G-Y-CPLX // CPLX0-12269 // SEC-SECRETION-CPLX // SECG // SECE-G-Y-CPLX // CPLX0-12269 // SEC-SECRETION-CPLX // SECY // SECE-G-Y-CPLX // CPLX0-12269 // SEC-SECRETION-CPLX
cytochrome <i>c</i> biogenesis (system I type)	RXN-21426	EG11297	DISULFOXRED-MONOMER // MONOMER0-4152
cytochrome <i>c</i> biogenesis (system I type)	RXN-21425	EG12053	EG12053-MONOMER
cytochrome <i>c</i> biogenesis (system I type)	RXN-21424	EG12053	EG12053-MONOMER
cytochrome <i>c</i> biogenesis (system I type)	RXN-21423	EG12054	EG12054-MONOMER // CPLX-9494
cytochrome <i>c</i> biogenesis (system I type)	RXN-21422	EG12052	EG12052-MONOMER // CPLX-9494
cytochrome <i>c</i> biogenesis (system I type)	RXN-21421	EG12053	EG12053-MONOMER
cytochrome <i>c</i> biogenesis (system I type)	RXN-20161	EG11031	RED-THIOREDOXIN-MONOMER // OX-THIOREDOXIN-MONOMER
cytochrome <i>c</i> biogenesis (system I type)	RXN-21410	EG12178	DSBD-MONOMER // MONOMER0-4573
cytochrome <i>c</i> biogenesis (system I type)	RXN-21407	EG12057 // EG12169 // EG12055	CCMC-MONOMER // CPLX-9495 // ABC-35-CPLX // EG12169-MONOMER // CPLX-9495 // ABC-35-CPLX // CCME-MONOMER // ABC-35-CPLX
cytochrome <i>c</i> biogenesis (system I type)	RXN-21408	EG12058 // EG12059	CCMB-MONOMER // CPLX-9495 // CPLX-9493 // CCMA-MONOMER // CPLX-9495 // CPLX-9493
8-amino-7-oxononanoate biosynthesis I	RXN-11484	EG10121	7KAPSYN-MONOMER // 7KAPSYN-CPLX
8-amino-7-oxononanoate biosynthesis I	RXN-11474		
8-amino-7-oxononanoate biosynthesis I	RXN-11475	EG10119	EG10119-MONOMER
8-amino-7-oxononanoate biosynthesis I	RXN-11476	EG11318	3-OXOACYL-ACP-REDUCT-MONOMER // CPLX0-8005
8-amino-7-oxononanoate biosynthesis I	RXN-11477	EG11284	FABZ-MONOMER // FABZ-CPLX
8-amino-7-oxononanoate biosynthesis I	RXN-11478	EG11528	ENOYL-ACP-REDUCT-NADH-MONOMER // CPLX0-8006
8-amino-7-oxononanoate biosynthesis I	RXN-11479	EG12606 // EG10274	3-OXOACYL-ACP-SYNTHII-MONOMER // 3-OXOACYL-ACP-SYNTHII-CPLX // FABB-MONOMER // FABB-CPLX
8-amino-7-oxononanoate biosynthesis I	RXN-11480	EG11318	3-OXOACYL-ACP-REDUCT-MONOMER // CPLX0-8005
8-amino-7-oxononanoate biosynthesis I	RXN-11481	EG11284	FABZ-MONOMER // FABZ-CPLX
8-amino-7-oxononanoate biosynthesis I	RXN-11482	EG11528	ENOYL-ACP-REDUCT-NADH-MONOMER // CPLX0-8006
8-amino-7-oxononanoate biosynthesis I	RXN-11483	EG10122	EG10122-MONOMER
RstBA Two-Component Signal Transduction System	RSTA-RXN		
RstBA Two-Component Signal Transduction System	RSTB-RXN		
gluconeogenesis I	TRIOSEPISOMERIZATION-RXN	EG11015	TPI-MONOMER // TPI
gluconeogenesis I	MALIC-NADP-RXN	G7293	MALIC-NADP-MONOMER // MALIC-NADP-CPLX
gluconeogenesis I	1.1.1.39-RXN	EG10948	MALIC-NAD-MONOMER // MALIC-NAD-CPLX
gluconeogenesis I	PEPSYNTH-RXN	EG10759	PEPSYNTH-MONOMER // PEPSYNTH-CPLX
gluconeogenesis I	MALATE-DEH-RXN	EG10576	MALATE-DEHASE-MONOMER // MALATE-DEHASE
gluconeogenesis I	PEPCARBOXYKIN-RXN	EG10688	PEPCARBOXYKIN-MONOMER
gluconeogenesis I	2PGADEHYDRAT-RXN	EG10258	ENOLASE-MONOMER // ENOLASE-CPLX // CPLX0-2381
gluconeogenesis I	3PGAREARR-RXN	EG12296	PGMI-MONOMER
gluconeogenesis I	PHOSGLYPHOS-RXN	EG10703	PGK
gluconeogenesis I	GAPOXNPHOSPHN-RXN	EG10367	GAPDH-A-MONOMER // GAPDH-A-CPLX
gluconeogenesis I	F16ALDOLASE-RXN	EG10282 // G7129	FRUCTBISALD-CLASSII-MONOMER // FRUCBISALD-CLASSII // FRUCBISALD-CLASSI-MONOMER // FRUCBISALD-CLASSI
gluconeogenesis I	F16BDEPHOS-RXN	EG10283 // EG11517 // EG11239 // EG11245 // EG10727	F16B-MONOMER // F16B-CPLX // EG11517-MONOMER // CPLX0-303 // EG11239-MONOMER // EG11245-MONOMER // CPLX0-7776 // ALKAPHOSPHA-MONOMER // ALKAPHOSPHA-CPLX
gluconeogenesis I	PGLUCISOM-RXN	G7463 // EG10702	G7463-MONOMER // CPLX-8401 // PGLUCISOM // CPLX0-7877
acetoacetate degradation (to acetyl CoA)	ACETOACETYL-COA-TRANSFER-RXN	EG11670 // EG11669 // EG12432	ATOA-MONOMER // ATOA-CPLX // ACETOACETYL-COA-TRANSFER-CPLX // ATOD-MONOMER // ATOD-CPLX // ACETOACETYL-COA-TRANSFER-CPLX // EG12432-MONOMER
acetoacetate degradation (to acetyl CoA)	ACETYL-COA-ACETYLTRANSFER-RXN	EG11672	ACETYL-COA-ACETYLTRANSFER-MONOMER // ACETYL-COA-ACETYLTRANSFER-CPLX
menaquinol-8 biosynthesis	ADOMET-DMK-METHYLTRANSFER-RXN	EG11473	2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER // CPLX0-8301
phenylacetate degradation I (aerobic)	RXN-2425	G6714	G6714-MONOMER // CPLX0-7988
phenylacetate degradation I (aerobic)	RXN-10819	G6719	G6719-MONOMER
phenylacetate degradation I (aerobic)	RXNMETA-12672	G6708	G6708-MONOMER // CPLX0-8538
phenylacetate degradation I (aerobic)	RXNMETA-12671	G6708	G6708-MONOMER // CPLX0-8538
phenylacetate degradation I (aerobic)	RXN0-6510	G6715	G6715-MONOMER // CPLX0-7988
phenylacetate degradation I (aerobic)	RXN0-6512	G6718	G6718-MONOMER
phenylacetate degradation I (aerobic)	RXN0-2042	G6713 // G6709 // G6711 // G6710	G6713-MONOMER // CPLX0-1762 // G6709-MONOMER // CPLX0-1762 // G6711-MONOMER // CPLX0-1762 // G6710-MONOMER // CPLX0-1762
phenylacetate degradation I (aerobic)	RXN0-2044	G6716	G6716-MONOMER
phenylacetate degradation I (aerobic)	RXN-3641	G6718	G6718-MONOMER
putrescine biosynthesis III	ORNDECARBOX-RXN	EG10961 // EG10964	ORNDECARBOX-BIO-MONOMER // ORNDECARBOX-BIO-CPLX // ORNDECARBOXDEG-MONOMER // ORNDECARBOXDEG-CPLX
glutathionylspermidine biosynthesis	GSPSYN-RXN	EG12882	GSP-MONOMER // GSP-CPLX
formate to trimethylamine <i>N</i>-oxide electron transfer	RXN0-5264	EG11814 // EG11815	TORA-MONOMER // TMAOREDUCTI-CPLX // EG11815-MONOMER // TMAOREDUCTI-CPLX
formate to trimethylamine <i>N</i>-oxide electron transfer	FORMATEDEHYDROG-RXN	EG11856 // EG11857 // EG11858 // EG11227 // EG11228 // EG11229	FDOI-MONOMER // FORMATEDEHYDROGO-CPLX // CPLX0-13310 // FDOH-MONOMER // FORMATEDEHYDROGO-CPLX // CPLX0-13310 // FDOG-MONOMER // FORMATEDEHYDROGO-CPLX // CPLX0-13310 // FDNG-MONOMER // ALPHA-SUBUNIT-CPLX // FORMATEDEHYDROGN-CPLX // FDNH-MONOMER // ALPHA-SUBUNIT-CPLX // FORMATEDEHYDROGN-CPLX // FDNI-MONOMER // ALPHA-SUBUNIT-CPLX // FORMATEDEHYDROGN-CPLX
adenine and adenosine salvage II	ADENOSINE-NUCLEOSIDASE-RXN	EG11082	EG11082-MONOMER
adenine and adenosine salvage II	ADENPRIBOSYLTRAN-RXN	EG10051	ADENPRIBOSYLTRAN-MONOMER // ADENPRIBOSYLTRAN-CPLX
arginine dependent acid resistance	ARGDECARBOX-RXN	EG10959 // EG11501	ARGDECARBOXBIO-MONOMER // ARGDECARBOXBIO-CPLX // ARGDECARBOXDEG-MONOMER // ARGDECARBOXDEG-CPLX
2-<I>O</I>-&alpha;-mannosyl-D-glycerate degradation	GKI-RXN	EG11175 // G6283	GKI-MONOMER // GLY3KIN-MONOMER
2-<I>O</I>-&alpha;-mannosyl-D-glycerate degradation	RXN0-5216	EG13236	EG13236-MONOMER
ubiquinol-8 biosynthesis (anaerobic)	RXN-24718	G7653 // G7652	G7653-MONOMER // CPLX0-8308 // G7652-MONOMER // CPLX0-8308
ubiquinol-8 biosynthesis (anaerobic)	RXN-24717	G7653 // G7652	G7653-MONOMER // CPLX0-8308 // G7652-MONOMER // CPLX0-8308
ubiquinol-8 biosynthesis (anaerobic)	RXN-24716	G7653 // G7652	G7653-MONOMER // CPLX0-8308 // G7652-MONOMER // CPLX0-8308
ubiquinol-8 biosynthesis (anaerobic)	4OHBENZOATE-OCTAPRENYLTRANSFER-RXN	EG11370	4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER
ubiquinol-8 biosynthesis (anaerobic)	3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN	EG11396	EG11396-MONOMER // CPLX0-301
ubiquinol-8 biosynthesis (anaerobic)	2-OCTAPRENYL-6-OHPHENOL-METHY-RXN	EG11143	DHHB-METHYLTRANSFER-MONOMER // CPLX0-8301
ubiquinol-8 biosynthesis (anaerobic)	2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN	EG11473	2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER // CPLX0-8301
ubiquinol-8 biosynthesis (anaerobic)	DHHB-METHYLTRANSFER-RXN	EG11143	DHHB-METHYLTRANSFER-MONOMER // CPLX0-8301
hydroxymethylpyrimidine salvage	PYRIMSYN3-RXN	G7135	HMP-P-KIN-MONOMER // HMP-P-KIN-CPLX
hydroxymethylpyrimidine salvage	OHMETPYRKIN-RXN	G7259 // G7135	PDXK-MONOMER // PDXK-CPLX // HMP-P-KIN-MONOMER // HMP-P-KIN-CPLX
adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I	DMBPPRIBOSYLTRANS-RXN	EG12151	DMBPPRIBOSYLTRANS-MONOMER // DMBPPRIBOSYLTRANS-CPLX
adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I	RXN-8770	G6349	RIBAZOLEPHOSPHAT-MONOMER
adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I	COBALAMIN5PSYN-RXN	EG12150	COBS-MONOMER
Kdo transfer to lipid IV<sub>A</sub> (<i>E. coli</i>)	KDOTRANS2-RXN	EG10520	KDOTRANS-MONOMER
Kdo transfer to lipid IV<sub>A</sub> (<i>E. coli</i>)	KDOTRANS-RXN	EG10520	KDOTRANS-MONOMER
D-mannose degradation I	TRANS-RXN-165	EG10569 // EG10568 // EG10567	MANZ-MONOMER // CPLX-165 // MANY-MONOMER // CPLX-165 // MANX-MONOMER // CPLX-165 // CPLX0-7921
D-mannose degradation I	MANNPISOM-RXN	EG10566	MANNPISOM-MONOMER
fructose degradation	1PFRUCTPHOSN-RXN	EG10337	1-PFK-MONOMER // 1-PFK
pyrimidine deoxyribonucleotide phosphorylation	DCDPKIN-RXN	EG10650 // EG10032	NUCLEOSIDE-DIP-KIN-MONOMER // NUCLEOSIDE-DIP-KIN-CPLX // ADENYL-KIN-MONOMER
pyrimidine deoxyribonucleotide phosphorylation	DTDPKIN-RXN	EG10650 // EG10032	NUCLEOSIDE-DIP-KIN-MONOMER // NUCLEOSIDE-DIP-KIN-CPLX // ADENYL-KIN-MONOMER
pyrimidine deoxyribonucleotide phosphorylation	RXN-7913	EG11265	CMPKI-MONOMER
pyrimidine deoxyribonucleotide phosphorylation	DTMPKI-RXN	EG12302	DTMPKI-MONOMER // CPLX0-8260
BasSR Two-Component Signal Transduction System	BASR-RXN		
BasSR Two-Component Signal Transduction System	RXN0-7339	EG11614	BASS-MONOMER // PHOSPHO-BASS
BasSR Two-Component Signal Transduction System	BASS-RXN		
nitrate reduction VIIIb (dissimilatory)	RXN0-7124	EG10640 // EG10639 // EG10638	NARI-MONOMER // NITRATREDUCTA-CPLX // NARH-MONOMER // NITRATREDUCTA-CPLX // NARG-MONOMER // NITRATREDUCTA-CPLX
nitrate reduction VIIIb (dissimilatory)	RXN0-5330	EG12089 // EG12087 // EG11774 // EG12086 // EG12084 // EG12083 // EG12093 // EG11773 // EG12092 // EG12091 // EG12090 // EG12088 // EG12082 // EG10649	NUOI-MONOMER // CPLX0-3361 // NADH-DHI-CPLX // NUOG-MONOMER // CPLX0-3361 // NADH-DHI-CPLX // NUOF-MONOMER // CPLX0-3361 // NADH-DHI-CPLX // NUOE-MONOMER // CPLX0-3361 // NADH-DHI-CPLX // NUOC-MONOMER // CPLX0-3361 // NADH-DHI-CPLX // NUOB-MONOMER // CPLX0-3361 // NADH-DHI-CPLX // NUON-MONOMER // NADH-DHI-CPLX // NUOM-MONOMER // NADH-DHI-CPLX // NUOL-MONOMER // NADH-DHI-CPLX // NUOK-MONOMER // NADH-DHI-CPLX // NUOJ-MONOMER // NADH-DHI-CPLX // NUOH-MONOMER // NADH-DHI-CPLX // NUOA-MONOMER // NADH-DHI-CPLX // NADH-DHII-MONOMER
2-hydroxypenta-2,4-dienoate degradation	ACETALD-DEHYDROG-RXN	G7285 // EG10031 // M014	G7285-MONOMER // ADHE-MONOMER // ADHE-CPLX // MHPF-MONOMER
2-hydroxypenta-2,4-dienoate degradation	MHPELY-RXN	G6205	MHPELY-MONOMER
2-hydroxypenta-2,4-dienoate degradation	2-OXOPENT-4-ENOATE-HYDRATASE-RXN	M013	MHPDHYDROL-MONOMER // CPLX0-7951
UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)	DALADALALIG-RXN	EG10213 // EG10214	DALADALALIGA-MONOMER // DALADALALIGB-MONOMER // DALADALALIGB-CPLX
UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)	UDP-NACMURALGLDAPLIG-RXN	EG10621	UDP-NACMURALGLDAPLIG-MONOMER
UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)	GLUTRACE-RXN	EG11204	GLUTRACE-MONOMER
UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)	UDP-NACMURALA-GLU-LIG-RXN	EG10620	UDP-NACMURALA-GLU-LIG-MONOMER
UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)	UDP-NACMUR-ALA-LIG-RXN	EG10619	UDP-NACMUR-ALA-LIG-MONOMER // CPLX0-8014
UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)	UDP-NACMURALGLDAPAALIG-RXN	EG10622	UDP-NACMURALGLDAPAALIG-MONOMER
UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)	UDPNACETYLMURAMATEDEHYDROG-RXN	EG11205	UDPNACETYLMURAMATEDEHYDROG-MONOMER
UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)	UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	EG11358	UDPNACETYLGLUCOSAMENOLPYRTRANS-MONOMER
phosphatidylserine and phosphatidylethanolamine biosynthesis I	PHOSPHASERDECARB-RXN	EG10775	PSD-MONOMER // PHOSPHASERDECARB-BETA-MONOMER // PHOSPHASERDECARB-ALPHA-MONOMER // PHOSPHASERDECARB-DIMER // PHOSPHASERDECARB-DIMER
phosphatidylserine and phosphatidylethanolamine biosynthesis I	PHOSPHASERSYN-RXN	EG10781	PHOSPHASERSYN-MONOMER // CPLX0-12524
cyanate degradation	R524-RXN	EG10175	CYANLY-MONOMER // CYANLY-CPLX
cyanate degradation	RXN0-5224	EG12319 // EG10176	EG12319-MONOMER // CPLX0-7521 // CARBODEHYDRAT-MONOMER // CARBODEHYDRAT-CPLX
cyanate degradation	RXN0-5222	G6520	G6520-MONOMER // CPLX0-8303
folate polyglutamylation	FORMYLTHFGLUSYNTH-RXN	EG10327	FOLC-MONOMER
folate polyglutamylation	RXN0-2921	EG10327	FOLC-MONOMER
folate polyglutamylation	FOLYLPOLYGLUTAMATESYNTH-RXN	EG10327	FOLC-MONOMER
folate polyglutamylation	GLYOHMETRANS-RXN	EG10408	GLYOHMETRANS-MONOMER // GLYOHMETRANS-CPLX
UhpBA Two Component Signal Transduction System	UHPB-RXN		
UhpBA Two Component Signal Transduction System	RXN0-6499		
L-ascorbate degradation I (bacterial, anaerobic)	RXN0-2461	EG12495 // EG12494 // G7856	YJFU-MONOMER // EIISGA // YJFT-MONOMER // EIISGA // SGAT-MONOMER // EIISGA
L-ascorbate degradation I (bacterial, anaerobic)	RXN0-5214	G7855	G7855-MONOMER // CPLX0-7848
L-ascorbate degradation I (bacterial, anaerobic)	RIBULPEPIM-RXN	EG10055 // EG12287 // G7860	RIBULPEPIM-MONOMER // RIBULPEPIM-CPLX // EG12287-MONOMER // G7860-MONOMER
L-ascorbate degradation I (bacterial, anaerobic)	RXN0-705	G7858 // EG12285	G7858-MONOMER // CPLX0-7744 // EG12285-MONOMER
L-ascorbate degradation I (bacterial, anaerobic)	LXULRU5P-RXN	G7859 // EG12286	G7859-MONOMER // EG12286-MONOMER
NAD salvage pathway I (PNC VI cycle)	NAD-SYNTH-NH3-RXN	EG10663	NAD-SYNTH-MONOMER // NAD-SYNTH-CPLX
NAD salvage pathway I (PNC VI cycle)	NICOTINAMID-RXN	EG11135	NICOTINAMID-MONOMER
NAD salvage pathway I (PNC VI cycle)	NAD-SYNTH-GLN-RXN		
NAD salvage pathway I (PNC VI cycle)	NMNNUCLEOSID-RXN		
NAD salvage pathway I (PNC VI cycle)	NICOTINATEPRIBOSYLTRANS-RXN	EG10742	NICOTINATEPRIBOSYLTRANS-MONOMER
NAD salvage pathway I (PNC VI cycle)	NADPYROPHOSPHAT-RXN		
NAD salvage pathway I (PNC VI cycle)	NICONUCADENYLYLTRAN-RXN	G6350	NICONUCADENYLYLTRAN-MONOMER
L-methionine biosynthesis I	CYSTATHIONINE-BETA-LYASE-RXN	EG10583 // EG10564	CYSTATHIONINE-BETA-LYASE-MONOMER // CYSTATHIONINE-BETA-LYASE-CPLX // EG10564-MONOMER // CPLX0-8092
L-methionine biosynthesis I	HOMOCYSMETB12-RXN	EG10587	HOMOCYSMETB12-MONOMER
L-methionine biosynthesis I	O-SUCCHOMOSERLYASE-RXN	EG10582	O-SUCCHOMOSERLYASE-MONOMER // O-SUCCHOMOSERLYASE-CPLX
L-methionine biosynthesis I	HOMOCYSMET-RXN	EG10584	HOMOCYSMET-MONOMER
L-methionine biosynthesis I	HOMSUCTRAN-RXN	EG10581	HOMSUCTRAN-MONOMER // HOMSUCTRAN-CPLX
GlrKR Two-Component Signal Transduction System	RXN0-6388		
GlrKR Two-Component Signal Transduction System	RXN0-6389		
UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose)	UGD-RXN	G7091	UGD-MONOMER // CPLX0-8098
superpathway of ornithine degradation	RXN-6423		
superpathway of ornithine degradation	ORNDECARBOX-RXN	EG10961 // EG10964	ORNDECARBOX-BIO-MONOMER // ORNDECARBOX-BIO-CPLX // ORNDECARBOXDEG-MONOMER // ORNDECARBOXDEG-CPLX
thiamine diphosphate salvage V	THI-P-KIN-RXN	G6234	THI-P-KIN-MONOMER
thiamine diphosphate salvage V	RXN-12610	EG11586	THIE-MONOMER
thiamine diphosphate salvage V	RXN-23965	M007	THZ-KIN-MONOMER // CPLX0-8211
L-arginine degradation II (AST pathway)	SUCCGLUDESUCC-RXN	G6940	SUCCGLUDESUCC-MONOMER
L-arginine degradation II (AST pathway)	SUCCGLUALDDEHYD-RXN	G6942	SUCCGLUALDDEHYD-MONOMER
L-arginine degradation II (AST pathway)	SUCCORNTRANSAM-RXN	G6944	SUCCORNTRANSAM-MONOMER // SUCCORNTRANSAM-CPLX
L-arginine degradation II (AST pathway)	SUCCARGDIHYDRO-RXN	G6941	SUCCARGDIHYDRO-MONOMER // CPLX0-7947
L-arginine degradation II (AST pathway)	ARGININE-N-SUCCINYLTRANSFERASE-RXN	G6943	ARGSUCCTRAN-MONOMER
NADH to dimethyl sulfoxide electron transfer	DIMESULFREDUCT-RXN	EG10234 // EG10233 // EG10232	DMSC-MONOMER // DIMESULFREDUCT-CPLX // DMSB-MONOMER // DIMESULFREDUCT-CPLX // DMSA-MONOMER // DIMESULFREDUCT-CPLX
NADH to dimethyl sulfoxide electron transfer	RXN0-5388	EG12082 // EG12088 // EG12090 // EG12091 // EG12092 // EG11773 // EG12093 // EG12083 // EG12084 // EG12086 // EG11774 // EG12087 // EG12089	NUOA-MONOMER // NADH-DHI-CPLX // NUOH-MONOMER // NADH-DHI-CPLX // NUOJ-MONOMER // NADH-DHI-CPLX // NUOK-MONOMER // NADH-DHI-CPLX // NUOL-MONOMER // NADH-DHI-CPLX // NUOM-MONOMER // NADH-DHI-CPLX // NUON-MONOMER // NADH-DHI-CPLX // NUOB-MONOMER // CPLX0-3361 // NADH-DHI-CPLX // NUOC-MONOMER // CPLX0-3361 // NADH-DHI-CPLX // NUOE-MONOMER // CPLX0-3361 // NADH-DHI-CPLX // NUOF-MONOMER // CPLX0-3361 // NADH-DHI-CPLX // NUOG-MONOMER // CPLX0-3361 // NADH-DHI-CPLX // NUOI-MONOMER // CPLX0-3361 // NADH-DHI-CPLX
tetrahydromonapterin biosynthesis	GTP-CYCLOHYDRO-I-RXN	EG11375	GTP-CYCLOHYDRO-I-MONOMER // FOLE-CPLX
tetrahydromonapterin biosynthesis	H2NTPEPIM-RXN	G7195	H2NTPEPIM-MONOMER // FOLXTET-CPLX
tetrahydromonapterin biosynthesis	RXN0-6368		
tetrahydromonapterin biosynthesis	RXN0-6367	G6862	G6862-MONOMER // CPLX0-8571
D-arabinose degradation I	DARABISOM-RXN	EG10349	FUCISOM-MONOMER // CPLX0-7631
D-arabinose degradation I	D-RIBULOKIN-RXN		
NAD salvage pathway IV (from nicotinamide riboside)	RIBOSYLNICOTINAMIDE-KINASE-RXN	EG11335	PD04413 // CPLX0-7975
NAD salvage pathway IV (from nicotinamide riboside)	2.7.7.1-RXN	EG11335	PD04413 // CPLX0-7975
pyrimidine nucleobases salvage II	CYTDEAM-RXN	EG11326	CYTDEAM-MONOMER // CPLX0-7932
molybdopterin biosynthesis	RXN-22698	G7325	G7325-MONOMER // CPLX0-248 // CPLX0-12610
molybdopterin biosynthesis	RXN-17809	EG11666	EG11666-MONOMER // CPLX-8331
molybdopterin biosynthesis	RXN-12473	EG12216 // EG11597 // EG10154 // G6952	EG12216-MONOMER // CPLX0-12610 // EG11597-MONOMER // CPLX0-12611 // CPLX0-2502 // EG10154-MONOMER // CPLX0-8164 // CPLX0-12611 // G6952-MONOMER
molybdopterin biosynthesis	RXN-11361	EG11597 // EG10154	EG11597-MONOMER // CPLX0-12611 // CPLX0-2502 // EG10154-MONOMER // CPLX0-8164 // CPLX0-12611
molybdopterin biosynthesis	RXN-8342	EG11597 // EG11598	EG11597-MONOMER // CPLX0-12611 // CPLX0-2502 // EG11598-MONOMER // CPLX0-2502
molybdopterin biosynthesis	RXN-8340	EG11595	EG11595-MONOMER
adenine and adenosine salvage III	HYPOXANPRIBOSYLTRAN-RXN	EG20098 // EG10414	HYPOXANPRIBOSYLTRAN-MONOMER // CPLX0-7685 // GPT-MONOMER // GPT-CPLX
adenine and adenosine salvage III	ADENODEAMIN-RXN	EG12097 // EG10030	EG12097-MONOMER // ADENODEAMIN-MONOMER
adenine and adenosine salvage III	ADENPHOSPHOR-RXN	EG12097 // EG10222 // EG12159	EG12097-MONOMER // DEOD-MONOMER // DEOD-CPLX // EG12159-MONOMER // CPLX0-8619
adenine and adenosine salvage III	INOPHOSPHOR-RXN	EG12097 // EG10222 // G85 // EG12159	EG12097-MONOMER // DEOD-MONOMER // DEOD-CPLX // XANTHOSINEPHOSPHORY-MONOMER // XANTHOSINEPHOSPHORY-CPLX // EG12159-MONOMER // CPLX0-8619
enterobactin biosynthesis	ENTG-RXN	EG10264	ENTF-MONOMER // MONOMER0-4398 // ENTF-PANT // ENTMULTI-CPLX
enterobactin biosynthesis	RXN-15891	EG10264	ENTF-MONOMER // MONOMER0-4398 // ENTF-PANT // ENTMULTI-CPLX
