name	reactions	genes	compounds
pyruvate to cytochrome <i>bd</i> oxidase electron transfer	RXN0-5266	EG10180 // EG10179 // EG10178 // EG10181 // G0-10588 // EG11379 // EG11380 // G0-10594 // G0-10441 // EG10174 // EG10173	CYOC-MONOMER // CYT-O-UBIOX-CPLX // CYOB-MONOMER // CYT-O-UBIOX-CPLX // CYOA-MONOMER // CYT-O-UBIOX-CPLX // CYOD-MONOMER // CYT-O-UBIOX-CPLX // MONOMER0-2817 // APP-UBIOX-CPLX // APPB-MONOMER // APP-UBIOX-CPLX // APPC-MONOMER // APP-UBIOX-CPLX // MONOMER0-2822 // CYT-D-UBIOX-CPLX // MONOMER0-2663 // CYT-D-UBIOX-CPLX // CYDB-MONOMER // CYT-D-UBIOX-CPLX // CYDA-MONOMER // CYT-D-UBIOX-CPLX
pyruvate to cytochrome <i>bd</i> oxidase electron transfer	RXN-11496	EG10754	PYRUVOXID-MONOMER // PYRUVOXID-CPLX
glucose and glucose-1-phosphate degradation	RXN0-6373	EG10369	GLUCDEHYDROG-MONOMER
glucose and glucose-1-phosphate degradation	GLUCOKIN-RXN	EG12957	GLUCOKIN-MONOMER
glucose and glucose-1-phosphate degradation	PHOSPHOGLUCMUT-RXN	EG12144	PHOSPHOGLUCMUT-MONOMER
glucose and glucose-1-phosphate degradation	GLUCONOLACT-RXN		
glucose and glucose-1-phosphate degradation	GLUCOSE-1-PHOSPHAT-RXN	EG10033 // EG11850	GLUCOSE-1-PHOSPHAT-MONOMER // GLUCOSE-1-PHOSPHAT-CPLX // EG11850-MONOMER
<i>bis</i>(guanylyl molybdopterin) cofactor sulfurylation	RXN-21566	G7325	G7325-MONOMER // CPLX0-248 // CPLX0-12610
<i>bis</i>(guanylyl molybdopterin) cofactor sulfurylation	RXN-21562	EG11859	EG11859-MONOMER // CPLX0-8175
<i>bis</i>(guanylyl molybdopterin) cofactor sulfurylation	RXN-21550	EG11859	EG11859-MONOMER // CPLX0-8175
acetate and ATP formation from acetyl-CoA I	PHOSACETYLTRANS-RXN	EG20173 // G7288	PHOSACETYLTRANS-MONOMER // PHOSACETYLTRANS-CPLX // G7288-MONOMER // CPLX0-7912
acetate and ATP formation from acetyl-CoA I	ACETATEKIN-RXN	EG10027 // EG11809	ACETATEKINA-MONOMER // GARTRANSFORMYL2-MONOMER
L-galactonate degradation	RXN0-5229	G7945	G7945-MONOMER
superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	PYRUVDEH-RXN	EG10543 // EG10025 // EG10024	E3-MONOMER // E3-CPLX // 2OXOGLUTARATEDEH-CPLX // GCVMULTI-CPLX // PYRUVATEDEH-CPLX // E2P-MONOMER // ACEF-DIHYDROLIPOATE // ACEF-S-ACETYLDIHYDROLIPOATE // ACEF-LIPOATE // PYRUVATEDEH-CPLX // E1P-MONOMER // E1P-CPLX // PYRUVATEDEH-CPLX
ubiquinol-8 biosynthesis (early decarboxylation)	4OHBENZOATE-OCTAPRENYLTRANSFER-RXN	EG11370	4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER
ubiquinol-8 biosynthesis (early decarboxylation)	3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN	EG11396	EG11396-MONOMER // CPLX0-301
ubiquinol-8 biosynthesis (early decarboxylation)	2-OCTAPRENYLPHENOL-HYDROX-RXN	EG11333	EG11333-MONOMER // CPLX0-8301
ubiquinol-8 biosynthesis (early decarboxylation)	2-OCTAPRENYL-6-OHPHENOL-METHY-RXN	EG11143	DHHB-METHYLTRANSFER-MONOMER // CPLX0-8301
ubiquinol-8 biosynthesis (early decarboxylation)	2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN	EG11324	OCTAPRENYL-METHOXYPHENOL-OH-MONOMER // CPLX0-8301
ubiquinol-8 biosynthesis (early decarboxylation)	2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN	EG11473	2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER // CPLX0-8301
ubiquinol-8 biosynthesis (early decarboxylation)	DHHB-METHYLTRANSFER-RXN	EG11143	DHHB-METHYLTRANSFER-MONOMER // CPLX0-8301
